eruptions,waiting
0.487311,-0.092817
-1.144456,-1.101233
0.469858,0.555450
0.469858,0.195302
0.469858,0.339361
-1.275347,-0.885143
0.801447,0.987629
0.714187,0.339361
-1.249169,-1.173262
1.194119,0.627480
-1.423689,-1.605440
1.735132,1.203718
-1.606936,-1.317322
1.229023,1.275747
0.801447,0.051243
-1.476045,-0.885143
1.054502,0.771540
-1.275347,-0.524995
1.106858,0.699510
0.661831,0.843569
-1.362607,-1.317322
1.316283,0.915599
-1.275347,-1.029203
0.469858,0.483421
-1.275347,-1.101233
0.469858,1.131688
-0.551087,-0.308906
0.906160,0.267332
0.530941,0.411391
0.225530,0.123272
0.051009,0.915599
0.879982,0.195302
-1.083374,-0.524995
1.237749,0.267332
-0.751785,-1.029203
0.600749,1.347777
-1.100826,-1.605440
1.141763,1.059658
-1.423689,-1.749500
0.993420,1.491836
-1.039744,-1.317322
0.583297,0.987629
-1.275347,-1.389351
0.469858,0.411391
-1.275347,-1.461381
0.469858,0.771540
-1.380059,-0.885143
0.705461,1.059658
-1.205539,-1.677470
0.879982,0.555450
-1.083374,-0.885143
0.469858,1.419807
-1.476045,-2.109648
0.757817,1.203718
-1.118278,-0.885143
0.888708,0.843569
0.365146,-0.236876
-0.114785,0.123272
0.234256,-0.092817
0.469858,2.572282
-1.318977,-1.605440
1.578064,0.339361
-1.275347,-1.101233
0.469858,0.555450
-1.275347,-0.813114
0.469858,0.699510
-1.275347,-1.749500
0.469858,0.627480
0.059735,0.051243
-1.127004,-0.741084
0.906160,0.483421
-1.257895,-1.317322
0.600749,0.555450
0.644379,0.051243
0.757817,0.627480
-1.336429,-0.741084
1.037050,0.627480
0.312790,-0.092817
0.496037,0.483421
0.618201,0.627480
1.054502,0.123272
-1.432415,-0.957173
0.469858,0.627480
-0.402744,-0.452965
0.469858,1.059658
-1.275347,-1.389351
0.862530,0.555450
-1.231717,-1.605440
0.688009,1.059658
-1.345155,-1.533411
1.054502,0.699510
-1.510950,-1.029203
0.801447,0.627480
-1.476045,-1.677470
0.993420,1.419807
-1.388785,-1.605440
0.862530,1.131688
-1.598210,-0.741084
1.368639,1.491836
-1.432415,-1.173262
1.429721,1.203718
-1.598210,-1.533411
0.714187,0.483421
-1.275347,-1.029203
0.469858,0.699510
-1.275347,-1.461381
0.932338,1.131688
-1.275347,-1.461381
0.469858,0.411391
-0.463826,-0.236876
1.106858,0.195302
-0.490004,0.339361
-1.318977,-1.389351
0.574571,0.555450
-1.449867,-1.245292
1.054502,1.059658
-1.423689,-1.389351
1.080680,0.915599
-1.170635,-0.813114
1.150489,1.491836
-1.432415,-1.317322
0.557119,0.267332
1.037050,0.555450
0.469858,0.627480
-1.275347,-0.957173
0.469858,0.987629
0.469858,0.411391
0.661831,-0.092817
0.583297,0.339361
0.408776,0.267332
0.251708,1.563866
0.836352,0.195302
-0.865224,-1.605440
0.618201,0.771540
0.295338,0.699510
0.749091,-0.020787
0.356420,0.339361
1.063228,0.195302
-1.537128,-0.524995
1.316283,0.483421
0.705461,-0.020787
0.975968,0.411391
0.469858,0.339361
0.469858,0.483421
0.469858,0.195302
0.469858,0.411391
-1.292799,-0.597025
0.993420,0.555450
-2.296292,-1.677470
1.272653,1.131688
-1.510950,-1.317322
0.975968,0.915599
-1.537128,-1.533411
1.124310,1.707926
-1.423689,-1.605440
0.906160,0.555450
-1.388785,0.411391
0.862530,0.627480
0.862530,-0.020787
0.469858,0.195302
1.167941,0.411391
0.469858,1.059658
0.469858,-0.236876
-1.275347,-1.245292
0.469858,0.771540
-1.336429,-1.677470
0.975968,0.699510
-1.275347,-1.101233
0.208078,0.843569
-0.516183,-1.101233
1.194119,0.843569
-0.010073,0.051243
0.801447,0.411391
-1.449867,-1.101233
0.818900,0.483421
-0.856498,-1.101233
0.923612,1.275747
-1.188087,-0.741084
0.775269,1.059658
0.792721,0.411391
-1.467319,-1.461381
1.272653,1.851985
-1.432415,-1.749500
0.469858,0.411391
0.469858,0.483421
0.469858,-0.524995
0.356420,0.843569
-1.406237,-1.605440
1.080680,0.771540
-1.257895,-0.885143
0.879982,0.555450
-1.388785,-1.605440
0.618201,1.131688
-1.362607,-1.605440
